name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00264,CÔNG TY TNHH DẦU KHÍ PHẠM GIA GROUP,PREEDA,Company,,Việt Nam,,VND,2200759341,"Số 48, ấp Tân Hòa B, Phường Thới Long, Thành phố Cần Thơ",,0
KH-00265,CÔNG TY TNHH LENIN,PUTIN,Company,,Việt Nam,,VND,,"Số 333P, tổ 8, khóm Tân An, Phường Tân Ngãi, Tỉnh Vĩnh Long",,0
KH-00266,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HOÁ MỸ PHẨM QUÊ HƯƠNG,QUEHUONG,Company,,Việt Nam,,VND,3703355812,"1073 Đường DT743A, Khu phố Chiêu Liêu, Phường Dĩ An, TP Hồ Chí Minh",,0
KH-00267,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ THANH THẢO,QUIN LYN,Company,,Việt Nam,,VND,,"thôn Hùng Trí, xã Lạc Đạo, tỉnh Hưng Yên",,0
KH-00268,Công ty TNHH Sản xuất và kinh doanh thương mại Mộc Lan,RIKO GOLD,Company,,Việt Nam,,VND,,"Tổ 15, Khu Phố Tân Ngọc, Đường CMT8, P. Phú Mỹ, TX. Phú Mỹ, BR VT",,0
KH-00269,CÔNG TY TNHH THỰC PHẨM RIN REAL,RIN REAL,Company,,Việt Nam,,VND,,,,0
KH-00270,CÔNG TY TNHH SALACOS,SALACOS,Company,,Việt Nam,,VND,0312860392,"D3/492K Đường Vườn Thơm, Xã Bình Lợi, TP Hồ Chí Minh",,0
KH-00271,CÔNG TY TRÁCH NHIỆM HỮU HẠN SAM RAN,SAMRAN,Company,,Việt Nam,,VND,1101798683,"ấp 5A, Xã Lương Bình, Huyện Bến Lức, Long An",,0
KH-00272,CÔNG TY TNHH DỊCH VỤ & THƯƠNG MẠI KIM CHÂU,SAN,Company,,Việt Nam,,VND,,"Số 243A/68/1 Hoàng Diệu, Phường Khánh Hội, TP Hồ Chí Minh, Việt Nam",,0
KH-00273,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI SBT,SBT,Company,,Việt Nam,,VND,1402213497,"Số 213, ấp Bình Hoà, Xã Mỹ Hiệp, Đồng Tháp",,0
KH-00274,CÔNG TY CỔ PHẦN DINH DƯỠNG SKX,SKX,Company,,Việt Nam,,VND,0313283123,"62 Nguyễn Văn Đậu, Phường Gia Định, TP Hồ Chí Minh",,0
KH-00275,Đoàn Văn Thống,SKYOLWEN,Company,,Việt Nam,,VND,,"Đối diện 1651/72 Lê Văn Lương, xã Nhơn Đức, Nhà Bè",,0
KH-00276,CÔNG TY TNHH THƯƠNG MẠI &XNK SNT VIỆT NAM,SNT VN,Company,,Việt Nam,,VND,,"An Hải , Hải Phòng",,0
KH-00277,CÔNG TY CP THƯƠNG MẠI & XNK SNT VIỆT NAM,SNT VN 2,Company,,Việt Nam,,VND,,"Xã đông hưng, tỉnh Hưng yên",,0
